product_name, product_price, product_quantity, date_updated
Tofu, 2.00, 36, 9/14/2022
Milk, 4.00, 34, 9/19/2022
Coffee Beans, 20.00, 31, 9/20/2022
Bananas, 2.00, 89, 10/23/2022
Carrots, 1.50, 6, 3/18/2023
Chickpea Pasta, 3.00, 95, 10/22/2022
Mixed Berries, 12.00, 39, 1/5/2023
Eggs, 9.00, 24, 1/11/2023
Yogurt, 8.00, 31, 3/16/2023
Tea, 2.00, 60, 7/22/2023
Apples, 10.00, 46, 10/19/2022
Broccoli, 1.50, 31, 12/31/2022
Rice, 20.00, 65, 4/27/2023
Maple Syrup, 8.00, 23, 5/28/2023
Cooking Oil, 20.00, 9, 6/25/2023
Frozen Veggies, 3.00, 25, 12/18/2022
Chicken, 15.00, 37, 5/23/2023
Shredded Cheese, 5.00, 86, 6/9/2023
Oranges, 6.00, 14, 7/15/2023
Sweet Potato, 4.00, 24, 8/23/2023
Mushrooms, 3.00, 38, 5/27/2023
Protein Bars, 17.00, 28, 4/3/2023
Ice Cream, 12.00, 82, 4/27/2023
